Date|Day in Season|Rank|Feast|Commemorations
2026-11-29|Dominica I of Advent|Major Sunday|Dominica I of Advent|
2026-11-30|Feria II week I of Advent|Feast|St. Andrew, Apostle|
2026-12-01|Feria III week I of Advent|Feria|Feria III week I of Advent|
2026-12-02|Feria IV week I of Advent|Feria|Feria IV week I of Advent|
2026-12-03|Feria V week I of Advent|Memorial|St. Francis Xavier, Priest|
2026-12-04|Feria VI week I of Advent|Feria|Feria VI week I of Advent|St. John Damascene, Priest and Doctor of the Church
2026-12-05|Sabbato week I of Advent|Feria|Sabbato week I of Advent|
2026-12-06|Dominica II of Advent|Major Sunday|Dominica II of Advent|
2026-12-07|Feria II week II of Advent|Memorial|St. Ambrose, Bishop and Doctor of the Church|
2026-12-08|Feria III week II of Advent|Solemnity|The Immaculate Conception of the Blessed Virgin Mary|
2026-12-09|Feria IV week II of Advent|Feria|Feria IV week II of Advent|St. Juan Diego Cuauhtlatoatzin
2026-12-10|Feria V week II of Advent|Feria|Feria V week II of Advent|Our Lady of Loreto
2026-12-11|Feria VI week II of Advent|Feria|Feria VI week II of Advent|St. Damasus I, Pope
2026-12-12|Sabbato week II of Advent|Feria|Sabbato week II of Advent|Our Lady of Guadalupe
2026-12-13|Dominica III of Advent|Major Sunday|Dominica III of Advent|
2026-12-14|Feria II week III of Advent|Memorial|St. John of the Cross, Priest and Doctor of the Church|
2026-12-15|Feria III week III of Advent|Feria|Feria III week III of Advent|
2026-12-16|Feria IV week III of Advent|Feria|Feria IV week III of Advent|
2026-12-17|Feria V week III of Advent|Feria|Feria V week III of Advent|
2026-12-18|Feria VI week III of Advent|Feria|Feria VI week III of Advent|
2026-12-19|Sabbato week III of Advent|Feria|Sabbato week III of Advent|
2026-12-20|Dominica IV of Advent|Major Sunday|Dominica IV of Advent|
2026-12-21|Feria II week IV of Advent|Feria|Feria II week IV of Advent|St. Peter Canisius, Priest and Doctor of the Church
2026-12-22|Feria III week IV of Advent|Feria|Feria III week IV of Advent|
2026-12-23|Feria IV week IV of Advent|Feria|Feria IV week IV of Advent|St. John of Kanty, Priest
2026-12-24|Feria V week IV of Advent|Feria|Feria V week IV of Advent|
2026-12-25|Feria VI in the Octave of Christmas|Solemnity|Nativity of the Lord|
2026-12-26|Sabbato in the Octave of Christmas|Feast|St. Stephen, First Martyr|
2026-12-27|Dominica in the Octave of Christmas|Feast|The Holy Family of Jesus, Mary and Joseph|
2026-12-28|Feria II in the Octave of Christmas|Feast|The Holy Innocents, Martyrs|
2026-12-29|Feria III in the Octave of Christmas|Feria|Feria III in the Octave of Christmas|St. Thomas Becket, Bishop and Martyr
2026-12-30|Feria IV in the Octave of Christmas|Feria|Feria IV in the Octave of Christmas|
2026-12-31|Feria V in the Octave of Christmas|Feria|Feria V in the Octave of Christmas|St. Sylvester I, Pope
2027-01-01|Feria VI in the Octave of Christmas|Solemnity|Solemnity of Mary, the Holy Mother of God|
2027-01-02|Sabbato in Christmas|Memorial|Sts. Basil the Great and Gregory Nazianzen, Bishops and Doctors of the Church|
2027-01-03|Dominica in Christmas|Sunday|Dominica in Christmas|
2027-01-04|Feria II in Christmas|Feria|Feria II in Christmas|
2027-01-05|Feria III in Christmas|Feria|Feria III in Christmas|
2027-01-06|Feria IV in Christmas|Solemnity|The Epiphany of the Lord|
